Player, Team, Opposition, #, Year, Venue, Result, Runs, Balls, Out, 4s, 6s, Score, Wickets
L Hutton, World All-Time XI, All-time World XI, 1, 2020, World All-Time XI,  World All-Time XI (593-5, 230-4) drew with All-time World XI (581, 158-4), 28, 29, c. RT Ponting b. CL Cairns, 4, 0, 593, 5, 
CL Cairns, All-time World XI, World All-Time XI, 1, 2020, World All-Time XI,  World All-Time XI (593-5, 230-4) drew with All-time World XI (581, 158-4), 0, 0, not out, 0, 0, 158, 4, 
SK Warne, All-time World XI, World All-Time XI, 1, 2020, World All-Time XI,  World All-Time XI (593-5, 230-4) drew with All-time World XI (581, 158-4), 0, 0, not out, 0, 0, 158, 4, 
GD McGrath, All-time World XI, World All-Time XI, 1, 2020, World All-Time XI,  World All-Time XI (593-5, 230-4) drew with All-time World XI (581, 158-4), 0, 0, not out, 0, 0, 158, 4, 
M Muralitharan, All-time World XI, World All-Time XI, 1, 2020, World All-Time XI,  World All-Time XI (593-5, 230-4) drew with All-time World XI (581, 158-4), 0, 0, not out, 0, 0, 158, 4, 
L Hutton, World All-Time XI, All-time World XI, 2, 2020, World All-Time XI,  World All-Time XI (188, 352) beat All-time World XI (256, 264) by 20 runs, 16, 45, c. †KC Sangakkara b. JH Kallis, 1, 0, 188, 10, 
JB Hobbs, World All-Time XI, All-time World XI, 2, 2020, World All-Time XI,  World All-Time XI (188, 352) beat All-time World XI (256, 264) by 20 runs, 0, 5, c. SK Warne b. GD McGrath, 0, 0, 188, 10, 
DG Bradman, World All-Time XI, All-time World XI, 2, 2020, World All-Time XI,  World All-Time XI (188, 352) beat All-time World XI (256, 264) by 20 runs, 28, 40, c. †KC Sangakkara b. JH Kallis, 4, 0, 188, 10, 
RT Ponting, World All-Time XI, All-time World XI, 2, 2020, World All-Time XI,  World All-Time XI (188, 352) beat All-time World XI (256, 264) by 20 runs, 4, 8, b. M Muralitharan, 0, 0, 188, 10, 
SB Smith, World All-Time XI, All-time World XI, 2, 2020, World All-Time XI,  World All-Time XI (188, 352) beat All-time World XI (256, 264) by 20 runs, 33, 66, c. SR Tendulkar b. GD McGrath, 4, 0, 188, 10, 
KC Sangakkara, World All-Time XI, All-time World XI, 2, 2020, World All-Time XI,  World All-Time XI (188, 352) beat All-time World XI (256, 264) by 20 runs, 40, 91, b. JH Kallis, 1, 0, 188, 10, 
GS Sobers, World All-Time XI, All-time World XI, 2, 2020, World All-Time XI,  World All-Time XI (188, 352) beat All-time World XI (256, 264) by 20 runs, 25, 45, lbw. b. JH Kallis, 2, 0, 188, 10, 
Imran Khan, Pakistan, All-time World XI, 2, 2020, World All-Time XI,  World All-Time XI (188, 352) beat All-time World XI (256, 264) by 20 runs, 11, 37, c. RT Ponting b. M Muralitharan, 1, 0, 188, 10, 
GA Lohmann, World All-Time XI, All-time World XI, 2, 2020, World All-Time XI,  World All-Time XI (188, 352) beat All-time World XI (256, 264) by 20 runs, 16, 46, b. CL Cairns, 0, 0, 188, 10, 
SK Warne, World All-Time XI, All-time World XI, 2, 2020, World All-Time XI,  World All-Time XI (188, 352) beat All-time World XI (256, 264) by 20 runs, 3, 13, c. BC Lara b. CL Cairns, 0, 0, 188, 10, 
M Muralitharan, World All-Time XI, All-time World XI, 2, 2020, World All-Time XI,  World All-Time XI (188, 352) beat All-time World XI (256, 264) by 20 runs, 7, 6, not out, 1, 0, 188, 10, 
ML Hayden, All-time World XI, World All-Time XI, 2, 2020, World All-Time XI,  World All-Time XI (188, 352) beat All-time World XI (256, 264) by 20 runs, 51, 91, b. SK Warne, 2, 0, 256, 10, 
DG Bradman, All-time World XI, World All-Time XI, 2, 2020, World All-Time XI,  World All-Time XI (188, 352) beat All-time World XI (256, 264) by 20 runs, 53, 98, c. SK Warne b. M Muralitharan, 3, 0, 256, 10, 
SR Tendulkar, All-time World XI, World All-Time XI, 2, 2020, World All-Time XI,  World All-Time XI (188, 352) beat All-time World XI (256, 264) by 20 runs, 52, 114, c. †KC Sangakkara b. M Muralitharan, 3, 0, 256, 10, 
BC Lara, All-time World XI, World All-Time XI, 2, 2020, World All-Time XI,  World All-Time XI (188, 352) beat All-time World XI (256, 264) by 20 runs, 11, 16, b. SK Warne, 1, 0, 256, 10, 
RT Ponting, All-time World XI, World All-Time XI, 2, 2020, World All-Time XI,  World All-Time XI (188, 352) beat All-time World XI (256, 264) by 20 runs, 0, 1, c. GA Lohmann b. SK Warne, 0, 0, 256, 10, 
KC Sangakkara, All-time World XI, World All-Time XI, 2, 2020, World All-Time XI,  World All-Time XI (188, 352) beat All-time World XI (256, 264) by 20 runs, 17, 45, b. Imran Khan, 1, 0, 256, 10, 
JH Kallis, All-time World XI, World All-Time XI, 2, 2020, World All-Time XI,  World All-Time XI (188, 352) beat All-time World XI (256, 264) by 20 runs, 31, 66, c. RT Ponting b. M Muralitharan, 2, 0, 256, 10, 
CL Cairns, All-time World XI, World All-Time XI, 2, 2020, World All-Time XI,  World All-Time XI (188, 352) beat All-time World XI (256, 264) by 20 runs, 11, 20, b. M Muralitharan, 1, 0, 256, 10, 
SK Warne, All-time World XI, World All-Time XI, 2, 2020, World All-Time XI,  World All-Time XI (188, 352) beat All-time World XI (256, 264) by 20 runs, 2, 7, c. RT Ponting b. M Muralitharan, 0, 0, 256, 10, 
GD McGrath, All-time World XI, World All-Time XI, 2, 2020, World All-Time XI,  World All-Time XI (188, 352) beat All-time World XI (256, 264) by 20 runs, 6, 20, c. SB Smith b. GA Lohmann, 0, 0, 256, 10, 
M Muralitharan, All-time World XI, World All-Time XI, 2, 2020, World All-Time XI,  World All-Time XI (188, 352) beat All-time World XI (256, 264) by 20 runs, 5, 10, not out, 0, 0, 256, 10, 
L Hutton, World All-Time XI, All-time World XI, 2, 2020, World All-Time XI,  World All-Time XI (188, 352) beat All-time World XI (256, 264) by 20 runs, 53, 138, c. ML Hayden b. SK Warne, 3, 0, 352, 10, 
JB Hobbs, World All-Time XI, All-time World XI, 2, 2020, World All-Time XI,  World All-Time XI (188, 352) beat All-time World XI (256, 264) by 20 runs, 0, 5, b. CL Cairns, 0, 0, 352, 10, 
DG Bradman, World All-Time XI, All-time World XI, 2, 2020, World All-Time XI,  World All-Time XI (188, 352) beat All-time World XI (256, 264) by 20 runs, 34, 82, c. BC Lara b. M Muralitharan, 1, 1, 352, 10, 
RT Ponting, World All-Time XI, All-time World XI, 2, 2020, World All-Time XI,  World All-Time XI (188, 352) beat All-time World XI (256, 264) by 20 runs, 10, 46, c. †KC Sangakkara b. CL Cairns, 0, 0, 352, 10, 
SB Smith, World All-Time XI, All-time World XI, 2, 2020, World All-Time XI,  World All-Time XI (188, 352) beat All-time World XI (256, 264) by 20 runs, 10, 26, c. ML Hayden b. SK Warne, 1, 0, 352, 10, 
KC Sangakkara, World All-Time XI, All-time World XI, 2, 2020, World All-Time XI,  World All-Time XI (188, 352) beat All-time World XI (256, 264) by 20 runs, 90, 155, st. †KC Sangakkara b. M Muralitharan, 7, 0, 352, 10, 
GS Sobers, World All-Time XI, All-time World XI, 2, 2020, World All-Time XI,  World All-Time XI (188, 352) beat All-time World XI (256, 264) by 20 runs, 0, 1, c. SR Tendulkar b. SK Warne, 0, 0, 352, 10, 
Imran Khan, Pakistan, All-time World XI, 2, 2020, World All-Time XI,  World All-Time XI (188, 352) beat All-time World XI (256, 264) by 20 runs, 86, 140, c. SR Tendulkar b. ML Hayden, 7, 2, 352, 10, 
GA Lohmann, World All-Time XI, All-time World XI, 2, 2020, World All-Time XI,  World All-Time XI (188, 352) beat All-time World XI (256, 264) by 20 runs, 25, 83, c. †KC Sangakkara b. SK Warne, 1, 0, 352, 10, 
SK Warne, World All-Time XI, All-time World XI, 2, 2020, World All-Time XI,  World All-Time XI (188, 352) beat All-time World XI (256, 264) by 20 runs, 17, 51, not out, 1, 0, 352, 10, 
M Muralitharan, World All-Time XI, All-time World XI, 2, 2020, World All-Time XI,  World All-Time XI (188, 352) beat All-time World XI (256, 264) by 20 runs, 8, 35, c. M Muralitharan b. SK Warne, 0, 0, 352, 10, 
ML Hayden, All-time World XI, World All-Time XI, 2, 2020, World All-Time XI,  World All-Time XI (188, 352) beat All-time World XI (256, 264) by 20 runs, 1, 5, c. SK Warne b. Imran Khan, 0, 0, 264, 10, 
DG Bradman, All-time World XI, World All-Time XI, 2, 2020, World All-Time XI,  World All-Time XI (188, 352) beat All-time World XI (256, 264) by 20 runs, 107, 214, c. SB Smith b. Imran Khan, 7, 0, 264, 10, 
SR Tendulkar, All-time World XI, World All-Time XI, 2, 2020, World All-Time XI,  World All-Time XI (188, 352) beat All-time World XI (256, 264) by 20 runs, 6, 12, b. GA Lohmann, 0, 0, 264, 10, 
BC Lara, All-time World XI, World All-Time XI, 2, 2020, World All-Time XI,  World All-Time XI (188, 352) beat All-time World XI (256, 264) by 20 runs, 14, 47, b. M Muralitharan, 0, 0, 264, 10, 
RT Ponting, All-time World XI, World All-Time XI, 2, 2020, World All-Time XI,  World All-Time XI (188, 352) beat All-time World XI (256, 264) by 20 runs, 47, 124, c. SB Smith b. M Muralitharan, 4, 0, 264, 10, 
KC Sangakkara, All-time World XI, World All-Time XI, 2, 2020, World All-Time XI,  World All-Time XI (188, 352) beat All-time World XI (256, 264) by 20 runs, 23, 76, c. †KC Sangakkara b. GS Sobers, 0, 0, 264, 10, 
JH Kallis, All-time World XI, World All-Time XI, 2, 2020, World All-Time XI,  World All-Time XI (188, 352) beat All-time World XI (256, 264) by 20 runs, 25, 39, not out, 1, 0, 264, 10, 
CL Cairns, All-time World XI, World All-Time XI, 2, 2020, World All-Time XI,  World All-Time XI (188, 352) beat All-time World XI (256, 264) by 20 runs, 11, 11, lbw. b. GS Sobers, 2, 0, 264, 10, 
SK Warne, All-time World XI, World All-Time XI, 2, 2020, World All-Time XI,  World All-Time XI (188, 352) beat All-time World XI (256, 264) by 20 runs, 0, 5, c. GA Lohmann b. GS Sobers, 0, 0, 264, 10, 
GD McGrath, All-time World XI, World All-Time XI, 2, 2020, World All-Time XI,  World All-Time XI (188, 352) beat All-time World XI (256, 264) by 20 runs, 7, 15, lbw. b. GS Sobers, 0, 0, 264, 10, 
M Muralitharan, All-time World XI, World All-Time XI, 2, 2020, World All-Time XI,  World All-Time XI (188, 352) beat All-time World XI (256, 264) by 20 runs, 14, 35, c. JB Hobbs b. Imran Khan, 0, 0, 264, 10, 
L Hutton, World All-Time XI, All-time World XI, 3, 2020, World All-Time XI,  All-time World XI (649, 16-0) beat World All-Time XI (403, 261) by 10 wickets, 69, 121, c. BC Lara b. SK Warne, 5, 1, 403, 10, 
JB Hobbs, World All-Time XI, All-time World XI, 3, 2020, World All-Time XI,  All-time World XI (649, 16-0) beat World All-Time XI (403, 261) by 10 wickets, 47, 105, c. †KC Sangakkara b. CL Cairns, 2, 0, 403, 10, 
DG Bradman, World All-Time XI, All-time World XI, 3, 2020, World All-Time XI,  All-time World XI (649, 16-0) beat World All-Time XI (403, 261) by 10 wickets, 129, 188, st. †KC Sangakkara b. SK Warne, 13, 0, 403, 10, 
RT Ponting, World All-Time XI, All-time World XI, 3, 2020, World All-Time XI,  All-time World XI (649, 16-0) beat World All-Time XI (403, 261) by 10 wickets, 4, 5, lbw. b. SK Warne, 1, 0, 403, 10, 
SB Smith, World All-Time XI, All-time World XI, 3, 2020, World All-Time XI,  All-time World XI (649, 16-0) beat World All-Time XI (403, 261) by 10 wickets, 21, 72, c. BC Lara b. M Muralitharan, 1, 0, 403, 10, 
KC Sangakkara, World All-Time XI, All-time World XI, 3, 2020, World All-Time XI,  All-time World XI (649, 16-0) beat World All-Time XI (403, 261) by 10 wickets, 9, 18, c. †KC Sangakkara b. GD McGrath, 1, 0, 403, 10, 
GS Sobers, World All-Time XI, All-time World XI, 3, 2020, World All-Time XI,  All-time World XI (649, 16-0) beat World All-Time XI (403, 261) by 10 wickets, 52, 89, c. †KC Sangakkara b. GD McGrath, 4, 0, 403, 10, 
Imran Khan, Pakistan, All-time World XI, 3, 2020, World All-Time XI,  All-time World XI (649, 16-0) beat World All-Time XI (403, 261) by 10 wickets, 35, 49, c. †KC Sangakkara b. SK Warne, 4, 0, 403, 10, 
GA Lohmann, World All-Time XI, All-time World XI, 3, 2020, World All-Time XI,  All-time World XI (649, 16-0) beat World All-Time XI (403, 261) by 10 wickets, 2, 10, b. GD McGrath, 0, 0, 403, 10, 
SK Warne, World All-Time XI, All-time World XI, 3, 2020, World All-Time XI,  All-time World XI (649, 16-0) beat World All-Time XI (403, 261) by 10 wickets, 23, 46, c. ML Hayden b. SK Warne, 1, 0, 403, 10, 
M Muralitharan, World All-Time XI, All-time World XI, 3, 2020, World All-Time XI,  All-time World XI (649, 16-0) beat World All-Time XI (403, 261) by 10 wickets, 3, 8, not out, 0, 0, 403, 10, 
ML Hayden, All-time World XI, World All-Time XI, 3, 2020, World All-Time XI,  All-time World XI (649, 16-0) beat World All-Time XI (403, 261) by 10 wickets, 37, 68, b. SK Warne, 4, 0, 649, 10, 
DG Bradman, All-time World XI, World All-Time XI, 3, 2020, World All-Time XI,  All-time World XI (649, 16-0) beat World All-Time XI (403, 261) by 10 wickets, 110, 202, lbw. b. M Muralitharan, 9, 0, 649, 10, 
SR Tendulkar, All-time World XI, World All-Time XI, 3, 2020, World All-Time XI,  All-time World XI (649, 16-0) beat World All-Time XI (403, 261) by 10 wickets, 6, 16, b. M Muralitharan, 0, 0, 649, 10, 
BC Lara, All-time World XI, World All-Time XI, 3, 2020, World All-Time XI,  All-time World XI (649, 16-0) beat World All-Time XI (403, 261) by 10 wickets, 72, 149, b. M Muralitharan, 3, 0, 649, 10, 
RT Ponting, All-time World XI, World All-Time XI, 3, 2020, World All-Time XI,  All-time World XI (649, 16-0) beat World All-Time XI (403, 261) by 10 wickets, 204, 264, lbw. b. M Muralitharan, 20, 1, 649, 10, 
KC Sangakkara, All-time World XI, World All-Time XI, 3, 2020, World All-Time XI,  All-time World XI (649, 16-0) beat World All-Time XI (403, 261) by 10 wickets, 63, 92, c. †KC Sangakkara b. M Muralitharan, 6, 1, 649, 10, 
JH Kallis, All-time World XI, World All-Time XI, 3, 2020, World All-Time XI,  All-time World XI (649, 16-0) beat World All-Time XI (403, 261) by 10 wickets, 55, 102, c. RT Ponting b. Imran Khan, 7, 0, 649, 10, 
CL Cairns, All-time World XI, World All-Time XI, 3, 2020, World All-Time XI,  All-time World XI (649, 16-0) beat World All-Time XI (403, 261) by 10 wickets, 41, 43, b. GS Sobers, 3, 0, 649, 10, 
SK Warne, All-time World XI, World All-Time XI, 3, 2020, World All-Time XI,  All-time World XI (649, 16-0) beat World All-Time XI (403, 261) by 10 wickets, 2, 7, b. M Muralitharan, 0, 0, 649, 10, 
GD McGrath, All-time World XI, World All-Time XI, 3, 2020, World All-Time XI,  All-time World XI (649, 16-0) beat World All-Time XI (403, 261) by 10 wickets, 11, 32, c. L Hutton b. GA Lohmann, 1, 0, 649, 10, 
M Muralitharan, All-time World XI, World All-Time XI, 3, 2020, World All-Time XI,  All-time World XI (649, 16-0) beat World All-Time XI (403, 261) by 10 wickets, 11, 21, not out, 1, 0, 649, 10, 
L Hutton, World All-Time XI, All-time World XI, 3, 2020, World All-Time XI,  All-time World XI (649, 16-0) beat World All-Time XI (403, 261) by 10 wickets, 44, 125, lbw. b. JH Kallis, 2, 0, 261, 10, 
JB Hobbs, World All-Time XI, All-time World XI, 3, 2020, World All-Time XI,  All-time World XI (649, 16-0) beat World All-Time XI (403, 261) by 10 wickets, 28, 62, b. SK Warne, 2, 0, 261, 10, 
DG Bradman, World All-Time XI, All-time World XI, 3, 2020, World All-Time XI,  All-time World XI (649, 16-0) beat World All-Time XI (403, 261) by 10 wickets, 116, 223, run out (KC Sangakkara), 8, 0, 261, 10, 
RT Ponting, World All-Time XI, All-time World XI, 3, 2020, World All-Time XI,  All-time World XI (649, 16-0) beat World All-Time XI (403, 261) by 10 wickets, 7, 15, lbw. b. JH Kallis, 0, 0, 261, 10, 
SB Smith, World All-Time XI, All-time World XI, 3, 2020, World All-Time XI,  All-time World XI (649, 16-0) beat World All-Time XI (403, 261) by 10 wickets, 5, 9, c. SK Warne b. M Muralitharan, 0, 0, 261, 10, 
KC Sangakkara, World All-Time XI, All-time World XI, 3, 2020, World All-Time XI,  All-time World XI (649, 16-0) beat World All-Time XI (403, 261) by 10 wickets, 21, 79, c. †KC Sangakkara b. GD McGrath, 2, 0, 261, 10, 
GS Sobers, World All-Time XI, All-time World XI, 3, 2020, World All-Time XI,  All-time World XI (649, 16-0) beat World All-Time XI (403, 261) by 10 wickets, 26, 45, c. †KC Sangakkara b. GD McGrath, 0, 0, 261, 10, 
Imran Khan, Pakistan, All-time World XI, 3, 2020, World All-Time XI,  All-time World XI (649, 16-0) beat World All-Time XI (403, 261) by 10 wickets, 5, 18, c. CL Cairns b. M Muralitharan, 0, 0, 261, 10, 
GA Lohmann, World All-Time XI, All-time World XI, 3, 2020, World All-Time XI,  All-time World XI (649, 16-0) beat World All-Time XI (403, 261) by 10 wickets, 1, 3, not out, 0, 0, 261, 10, 
SK Warne, World All-Time XI, All-time World XI, 3, 2020, World All-Time XI,  All-time World XI (649, 16-0) beat World All-Time XI (403, 261) by 10 wickets, 0, 1, lbw. b. M Muralitharan, 0, 0, 261, 10, 
M Muralitharan, World All-Time XI, All-time World XI, 3, 2020, World All-Time XI,  All-time World XI (649, 16-0) beat World All-Time XI (403, 261) by 10 wickets, 1, 9, lbw. b. M Muralitharan, 0, 0, 261, 10, 
ML Hayden, All-time World XI, World All-Time XI, 3, 2020, World All-Time XI,  All-time World XI (649, 16-0) beat World All-Time XI (403, 261) by 10 wickets, 6, 20, not out, 1, 0, 16, 0, 
DG Bradman, All-time World XI, World All-Time XI, 3, 2020, World All-Time XI,  All-time World XI (649, 16-0) beat World All-Time XI (403, 261) by 10 wickets, 10, 11, not out, 2, 0, 16, 0, 
SR Tendulkar, All-time World XI, World All-Time XI, 3, 2020, World All-Time XI,  All-time World XI (649, 16-0) beat World All-Time XI (403, 261) by 10 wickets, 0, 0, not out, 0, 0, 16, 0, 
BC Lara, All-time World XI, World All-Time XI, 3, 2020, World All-Time XI,  All-time World XI (649, 16-0) beat World All-Time XI (403, 261) by 10 wickets, 0, 0, not out, 0, 0, 16, 0, 
RT Ponting, All-time World XI, World All-Time XI, 3, 2020, World All-Time XI,  All-time World XI (649, 16-0) beat World All-Time XI (403, 261) by 10 wickets, 0, 0, not out, 0, 0, 16, 0, 
KC Sangakkara, All-time World XI, World All-Time XI, 3, 2020, World All-Time XI,  All-time World XI (649, 16-0) beat World All-Time XI (403, 261) by 10 wickets, 0, 0, not out, 0, 0, 16, 0, 
JH Kallis, All-time World XI, World All-Time XI, 3, 2020, World All-Time XI,  All-time World XI (649, 16-0) beat World All-Time XI (403, 261) by 10 wickets, 0, 0, not out, 0, 0, 16, 0, 
CL Cairns, All-time World XI, World All-Time XI, 3, 2020, World All-Time XI,  All-time World XI (649, 16-0) beat World All-Time XI (403, 261) by 10 wickets, 0, 0, not out, 0, 0, 16, 0, 
SK Warne, All-time World XI, World All-Time XI, 3, 2020, World All-Time XI,  All-time World XI (649, 16-0) beat World All-Time XI (403, 261) by 10 wickets, 0, 0, not out, 0, 0, 16, 0, 
GD McGrath, All-time World XI, World All-Time XI, 3, 2020, World All-Time XI,  All-time World XI (649, 16-0) beat World All-Time XI (403, 261) by 10 wickets, 0, 0, not out, 0, 0, 16, 0, 
